Track,Artist,Album,URL,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Everytime We Touch,Cascada,Everytime We Touch (Premium Edition),https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,german,0.633,0.976,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027
Stay,Zedd,Stay,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,german,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,Bach: Unaccompanied Cello Suites (Remastered),https://open.spotify.com/track/61dYvvfIRtIDFuqZypPAta,german,0.257,0.109,-21.356,0.0597,0.9,0.867,0.0762,0.307,75.02
Wind Of Change,Scorpions,Crazy World,https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM,german,0.452,0.524,-10.108,0.0351,0.315,0.0,0.103,0.246,151.505
Tom's Diner,AnnenMayKantereit,Tom's Diner,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP,german,0.68,0.428,-8.107,0.135,0.376,0.000344,0.355,0.334,98.222
Sugar (feat. Francesco Yates),Robin Schulz,Sugar,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,german,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063
Deeper Than the Holler,Randy Travis,Old 8 x 10,https://open.spotify.com/track/3xx0jE52PbtvwXgNaBUdch,gospel,0.647,0.482,-8.591,0.0262,0.29,0.0,0.232,0.437,142.648
A Little Bit Stronger,Sara Evans,Stronger,https://open.spotify.com/track/5FIp4LrsffxiHLhmmpCbCx,gospel,0.536,0.65,-5.603,0.0337,0.282,1.16e-06,0.0876,0.288,147.93
Goodness of God - Live,CeCe Winans,Believe For It,https://open.spotify.com/track/6vXOAkNQQ1KLmnC7vGYA0c,gospel,0.49,0.383,-6.072,0.0316,0.657,0.0,0.172,0.212,126.272
Three Wooden Crosses,Randy Travis,On the Other Hand - All the Number Ones,https://open.spotify.com/track/1S4fpfX2u0hzFD9vb6FEB6,gospel,0.523,0.501,-9.276,0.0366,0.459,0.0,0.0818,0.391,158.179
I Smile,Kirk Franklin,Hello Fear,https://open.spotify.com/track/0UQDSP8cz6WmLJckO5jqUQ,gospel,0.745,0.753,-2.408,0.164,0.223,0.0,0.705,0.589,144.057
Won't He Do It,Koryn Hawthorne,Greenleaf Soundtrack - Season 2,https://open.spotify.com/track/5Vr9WTLcbpKRkQGvVen13W,gospel,0.629,0.624,-4.975,0.0745,0.12,0.0,0.203,0.73,140.042
I Told You So,Randy Travis,Always & Forever,https://open.spotify.com/track/6QUEB3DDAD7oJhbIZF2v4Y,gospel,0.615,0.347,-9.596,0.0259,0.182,0.0,0.125,0.273,78.994
